step,time_seconds,total_vehicles,north_queue,south_queue,east_queue,west_queue,north_speed,south_speed,east_speed,west_speed,north_wait,south_wait,east_wait,west_wait,north_vehicles,south_vehicles,east_vehicles,west_vehicles,avg_speed_kmh,avg_waiting_time,max_waiting_time,halting_count,cars,trucks,buses,motorcycles,emergency_vehicles,emergency_detected,emergency_direction,emergency_direction_name,emergency_priority,emergency_distance,emergency_vehicle_id,emergency_type,north_congestion,south_congestion,east_congestion,west_congestion
68,68,73,59,14,0,0,16.600139871037417,44.93146419138389,0,0,7.440677966101695,0.0,0,0,59,14,0,0,22.03354453521345,6.013698630136986,39.0,29,59,4,3,7,0,0,0,none,0,999.0,,,60,18,20,20
69,69,76,62,14,0,0,14.760448323266644,45.20182208576923,0,0,7.580645161290323,0.0,0,0,62,14,0,0,20.368069805832906,6.184210526315789,40.0,35,62,3,4,7,0,0,0,none,0,999.0,,,62,18,20,20
70,70,73,61,12,0,0,14.927397189437219,43.437306345444284,0,0,8.229508196721312,0.0,0,0,61,12,0,0,19.61395759864386,6.876712328767123,41.0,32,60,3,3,7,0,0,0,none,0,999.0,,,62,18,20,20
71,71,68,59,9,0,0,13.984351950941454,42.87141529431105,0,0,9.067796610169491,0.0,0,0,59,9,0,0,17.807639746387427,7.867647058823529,42.0,33,55,3,3,7,0,0,0,none,0,999.0,,,62,16,20,20
72,72,69,62,7,0,0,13.574426873609788,43.035356847263586,0,0,9.17741935483871,0.0,0,0,62,7,0,0,16.563216870936984,8.246376811594203,43.0,37,54,3,3,8,1,1,0,north,0,6.1,emergency_1,emergency,63,15,20,20
73,73,69,63,6,0,0,13.664377354913036,43.645078706553164,0,0,9.603174603174603,0.0,0,0,63,6,0,0,16.271394863751304,8.768115942028986,44.0,37,54,3,3,8,1,1,0,north,0,7.518836520382236,emergency_1,emergency,63,14,20,20
74,74,69,63,6,0,0,14.209093545674556,43.89066855895609,0,0,10.174603174603174,0.0,0,0,63,6,0,0,16.7901000685686,9.289855072463768,45.0,36,54,3,3,8,1,1,0,north,0,11.262028333690084,emergency_1,emergency,63,14,20,20
75,75,71,65,6,0,0,13.82986278891049,44.71523582150969,0,0,10.415384615384616,0.0,0,0,65,6,0,0,16.43989431279211,9.535211267605634,46.0,39,55,4,3,8,1,1,0,north,0,17.538115924325872,emergency_1,emergency,63,13,20,20
76,76,74,67,7,0,0,13.398921444056311,43.82565768477879,0,0,10.686567164179104,0.0,0,0,67,7,0,0,16.277126223584116,9.675675675675675,47.0,42,57,4,3,9,1,1,0,north,0,26.73995265768575,emergency_1,emergency,63,14,20,20
77,77,74,67,7,0,0,13.126082276848013,43.38085982852256,0,0,11.26865671641791,0.0,0,0,67,7,0,0,15.98802069389831,10.202702702702704,48.0,40,57,5,3,8,1,1,0,north,0,36.95451854599338,emergency_1,emergency,64,15,20,20
78,78,74,67,7,0,0,13.096371300806728,45.385501912638965,0,0,11.850746268656716,0.0,0,0,67,7,0,0,16.15074852084491,10.72972972972973,49.0,40,57,5,3,8,1,1,0,north,0,50.06240688918287,emergency_1,emergency,64,13,20,20
79,79,76,69,7,0,0,12.945601267094307,45.17571934571918,0,0,12.08695652173913,0.0,0,0,69,7,0,0,15.914164774336069,10.973684210526315,50.0,42,59,5,3,8,1,1,0,north,0,63.43959247933829,emergency_1,emergency,64,14,20,20
80,80,77,70,7,0,0,13.264694193290872,44.499739617094285,0,0,12.485714285714286,0.0,0,0,70,7,0,0,16.104243777273,11.35064935064935,51.0,41,59,5,4,8,1,1,0,north,0,77.01349534198305,emergency_1,emergency,64,14,20,20
81,81,78,70,8,0,0,13.257264517549,44.643830442638844,0,0,13.071428571428571,0.0,0,0,70,8,0,0,16.476399484224885,11.73076923076923,52.0,42,60,5,4,8,1,1,0,north,0,90.29564222996251,emergency_1,emergency,64,15,20,20
82,82,79,71,8,0,0,13.298288973952806,44.75232075537908,0,0,13.47887323943662,0.0,0,0,71,8,0,0,16.483507382198507,12.113924050632912,53.0,44,61,5,4,8,1,1,0,north,0,104.0687841340074,emergency_1,emergency,64,14,20,20
83,83,78,70,8,0,0,14.08598734752109,43.25099344041853,0,0,14.271428571428572,0.0,0,0,70,8,0,0,17.0772700237157,12.807692307692308,54.0,42,61,4,4,8,1,1,0,north,0,117.87135292112023,emergency_1,emergency,64,15,20,20
84,84,78,72,6,0,0,13.825631759556774,42.48058099592227,0,0,14.458333333333334,0.0,0,0,72,6,0,0,16.029858623892576,13.346153846153847,55.0,44,61,4,4,8,1,1,0,north,0,131.52756722353527,emergency_1,emergency,64,15,20,20
